       EEG1       EEG2       EEG3       EEG4
      -21.3       -7.0       -1.0        3.5
      -26.3      -15.0       -2.0        3.6
      -33.0      -26.3       -3.1        2.0
      -39.5      -35.5       -3.6        0.8
      -44.1      -41.3       -4.4        1.4
      -46.1      -44.8       -5.5        2.8
      -46.0      -45.8       -5.6        4.4
      -43.1      -43.0       -3.5        7.9
      -37.5      -38.5        0.3       12.6
      -32.8      -36.0        2.9       10.6
      -30.6      -36.4        3.4        1.0
      -28.3      -37.1        2.8       -6.9
      -23.3      -36.1        2.0       -8.3
      -16.9      -33.3        0.9       -6.1
      -11.1      -29.3       -1.6       -6.1
       -6.4      -24.8       -5.1      -10.0
       -0.8      -19.6       -7.4      -13.9
        6.9      -13.6       -7.3      -16.3
       15.5       -7.8       -5.0      -18.4
       23.0       -3.0       -1.1      -18.8
       27.4       -0.1        3.5      -15.9
       28.0        0.5        8.1      -12.8
       25.8       -1.1       13.3      -11.1
       21.4       -5.6       18.8      -10.0
       13.8      -13.6       23.3      -10.0
        3.3      -22.6       25.3      -11.3
       -6.8      -28.5       25.4       -9.1
      -13.8      -30.8       24.9       -3.6
      -17.9      -31.1       24.4       -3.9
      -19.6      -30.0       22.9      -11.6
      -19.0      -26.0       18.8      -19.0
      -15.0      -19.1       12.4      -20.9
       -7.4      -12.4        6.5      -18.4
        1.8       -9.1        3.5      -17.5
        7.8      -11.4        3.3      -19.6
        7.3      -18.4        3.6      -20.1
        1.8      -24.4        3.1      -18.0
       -4.0      -23.8        1.9      -16.4
       -5.8      -17.4        0.4      -15.8
       -1.9      -11.0       -1.1      -14.5
        5.5       -7.8       -0.9      -13.0
       11.9       -5.4        2.6      -11.9
       14.3       -1.1        7.6      -10.3
       11.8        2.6       11.0       -7.5
        5.9        1.9       11.5       -2.0
        0.0       -2.5        9.6        5.5
       -2.5       -5.3        6.4        7.4
        0.4       -3.8        2.8        1.9
        7.4        0.8       -0.8       -3.3
       15.4        7.1       -3.6       -3.5
       22.6       13.5       -5.4       -0.8
       29.4       18.0       -5.4        1.3
       36.5       22.1       -4.0        0.9
       43.9       27.4       -1.9       -0.3
       48.8       31.5        0.8       -2.3
       48.9       32.1        3.0       -6.1
       44.8       30.9        3.3       -8.4
       40.0       30.5        1.0       -6.1
       38.8       32.5       -2.0       -1.9
       40.9       35.9       -4.4        2.3
       41.9       38.5       -6.4        5.9
       38.6       38.4       -8.1        8.0
       31.8       33.3       -8.6        8.6
       24.8       25.6       -7.8        8.0
       20.8       21.0       -6.5        6.9
       19.6       21.3       -6.1        6.0
       19.4       24.5       -7.5        6.3
       20.1       30.1       -9.6        7.6
       22.4       37.1      -10.9        8.6
       23.9       42.0      -11.0        6.6
       23.6       42.4       -9.4        1.3
       23.5       40.5       -6.5       -4.6
       24.5       37.5       -4.3       -5.8
       25.5       31.8       -2.6       -0.9
       25.0       25.8       -1.0        2.3
       23.1       24.0       -0.4       -0.6
       21.0       27.1       -1.1       -3.4
       18.5       32.3       -3.1       -0.8
       14.3       37.3       -5.9        5.5
        8.0       41.0       -8.5       11.1
        1.3       40.5      -10.5       15.1
       -2.6       33.8      -11.4       18.3
       -0.8       23.5      -10.1       19.1
        5.3       15.0       -7.6       16.8
       11.1       11.3       -5.5       13.6
       13.9       12.0       -4.3       12.0
       13.1       14.3       -2.9        9.6
        9.5       14.6       -0.6        5.3
        4.0       13.4        1.6        1.1
       -1.4       13.6        2.1       -1.1
       -4.4       17.4        0.4       -1.6
       -3.1       23.4       -1.3       -0.5
        3.0       29.1       -0.8        1.0
       12.0       32.6        0.9        2.4
       19.3       31.3        2.0        2.9
       20.5       21.9        2.6        0.3
       13.4        6.0        2.8       -6.1
